flag,year,species,clutch
153,2021,herg,1
308,2021,herg,3
522,2021,herg,3
422,2021,herg,3
145,2021,herg,1
83,2021,herg,3
382,2021,herg,2
301,2021,herg,2
502,2021,herg,2
96,2021,herg,3
104,2021,herg,2
441,2021,herg,3
262,2021,herg,3
439,2021,herg,3
440,2021,herg,2
310,2021,herg,3
263,2021,herg,3
868,2021,herg,2
224,2021,herg,3
448,2021,herg,3
484,2021,herg,3
389,2021,herg,2
278,2021,herg,3
600,2021,herg,3
464,2021,herg,3
447,2021,herg,1
384,2021,herg,3
110,2021,herg,2
271,2021,herg,3
529,2021,herg,2
463,2021,herg,3
265,2021,herg,3
330,2021,herg,2
527,2021,herg,3
207,2021,gbbg,3
423,2021,herg,1
280,2021,herg,3
105,2021,herg,2
7,2021,herg,3
315,2021,herg,1
853,2021,herg,1
326,2021,herg,3
261,2021,herg,3
598,2021,herg,2
861,2021,herg,3
94,2021,herg,2
415,2021,herg,5
288,2021,herg,3
103,2021,herg,1
850,2021,herg,3
536,2021,herg,2
29,2021,herg,3
282,2021,herg,3
847,2021,herg,3
281,2021,herg,2
28,2021,herg,2
272,2021,herg,3
849,2021,herg,3
258,2021,herg,3
57,2021,herg,3
139,2021,herg,2
413,2021,herg,3
851,2021,herg,3
214,2021,gbbg,3
79,2021,herg,3
872,2021,herg,3
219,2021,herg,2
97,2021,coei,5
102,2021,herg,3
320,2021,herg,3
552,2021,herg,3
276,2021,herg,3
531,2021,herg,3
269,2021,herg,3
871,2021,herg,2
531,2021,herg,3
277,2021,herg,3
590,2021,herg,3
138,2021,herg,3
50,2021,herg,3
841,2021,herg,3
275,2021,herg,3
568,2021,herg,3
140,2021,herg,3
855,2021,herg,3
268,2021,herg,3
69,2021,herg,2
551,2021,herg,3
41,2021,herg,3
257,2021,herg,3
146,2021,herg,1
561,2021,herg,3
474,2021,herg,2
203,2021,herg,2
462,2021,herg,3
397,2021,herg,3
479,2021,herg,3
555,2021,herg,3
549,2021,herg,2
53,2021,herg,3
595,2021,herg,3
567,2021,herg,3
160,2021,herg,3
426,2021,herg,3
452,2021,herg,3
370,2021,herg,2
399,2021,herg,3
554,2021,herg,2
37,2021,herg,3
182,2021,herg,3
473,2021,herg,3
553,2021,herg,3
391,2021,herg,2
141,2021,herg,3
366,2021,herg,3
402,2021,herg,3
417,2021,herg,3
860,2021,herg,3
465,2021,herg,2
253,2021,herg,3
539,2021,herg,2
410,2021,coei,5
402,2021,herg,3
279,2021,herg,3
428,2021,herg,3
11,2021,herg,3
251,2021,herg,3
494,2021,herg,1
62,2021,herg,2
